Type, Nodes, Edges, Time(s), STD
Logic, 6, 6, 0.014675116539001465, 0.0011028595681984758
Recursive, 6, 6, 2.1672248840332033e-05, 2.1976567974018753e-05
Logic, 50, 500, 0.5417616128921509, 0.06731860091814797
Recursive, 50, 500, 0.0009500503540039063, 4.60278536963145e-05
